image_name,x1,y1,x2,y2
0071.jpg,1058,415,1174,693
0105.jpg,368,464,523,716
0111.jpg,235,481,455,717
0139.jpg,248,384,338,688
0138.jpg,235,383,330,686
0110.jpg,243,479,457,716
0104.jpg,389,461,547,717
0070.jpg,1059,416,1189,700
0072.jpg,1048,411,1161,685
0099.jpg,543,443,767,715
0112.jpg,237,480,457,720
0106.jpg,347,467,502,717
0107.jpg,293,469,487,717
0113.jpg,239,478,452,717
0098.jpg,572,448,776,710
0073.jpg,1029,411,1147,684
0077.jpg,901,413,1084,684
0088.jpg,768,422,970,717
0117.jpg,186,433,401,711
0103.jpg,413,455,593,718
0102.jpg,440,452,645,720
0116.jpg,196,450,418,717
0089.jpg,748,435,969,718
0076.jpg,915,414,1101,684
0074.jpg,990,412,1131,685
0128.jpg,148,405,291,673
0100.jpg,500,444,741,715
0114.jpg,221,473,446,717
0115.jpg,206,463,436,715
0101.jpg,470,448,699,718
0129.jpg,145,415,282,685
0075.jpg,953,413,1116,683
0166.jpg,365,405,563,663
0172.jpg,243,385,424,638
0173.jpg,220,379,418,637
0167.jpg,343,400,560,655
0171.jpg,267,390,450,638
0165.jpg,367,408,563,673
0159.jpg,403,380,563,662
0158.jpg,404,380,563,664
0164.jpg,368,407,563,674
0170.jpg,287,394,488,638
0148.jpg,340,375,464,665
0174.jpg,200,374,395,630
0160.jpg,402,382,561,662
0161.jpg,392,387,563,664
0175.jpg,182,371,363,606
0149.jpg,350,372,473,671
0217.jpg,241,273,316,461
0163.jpg,374,402,560,671
0177.jpg,152,370,300,601
0176.jpg,168,370,326,605
0162.jpg,380,394,563,671
0219.jpg,244,264,371,460
0147.jpg,327,379,464,666
0153.jpg,386,387,558,675
0152.jpg,379,381,552,671
0146.jpg,316,383,464,670
0218.jpg,234,267,337,465
0224.jpg,348,243,417,438
0150.jpg,358,373,498,668
0144.jpg,278,387,464,673
0178.jpg,139,369,295,594
0145.jpg,291,387,464,671
0151.jpg,369,376,531,669
0223.jpg,336,249,404,440
0169.jpg,308,398,521,642
0155.jpg,401,396,562,682
0141.jpg,261,390,384,679
0140.jpg,257,386,353,684
0154.jpg,396,393,561,682
0168.jpg,320,399,546,645
0222.jpg,320,254,393,443
0220.jpg,266,259,375,445
0142.jpg,270,389,423,677
0156.jpg,404,391,561,681
0157.jpg,403,386,560,669
0143.jpg,275,389,452,675
0221.jpg,290,257,379,442
0078.jpg,898,414,1070,685
0093.jpg,713,451,946,718
0087.jpg,794,409,972,709
0124.jpg,162,379,320,683
0130.jpg,148,423,275,685
0118.jpg,161,416,378,716
0119.jpg,175,407,352,713
0131.jpg,149,423,284,688
0125.jpg,157,382,318,676
0086.jpg,819,399,979,704
0092.jpg,729,449,964,718
0079.jpg,897,411,1054,688
0084.jpg,864,389,1001,689
0090.jpg,735,444,970,719
0133.jpg,147,411,301,687
0127.jpg,154,395,306,662
0126.jpg,159,385,314,664
0132.jpg,150,419,291,689
0091.jpg,729,448,970,719
0085.jpg,843,392,991,696
0081.jpg,898,396,1031,693
0095.jpg,649,454,869,717
0136.jpg,203,388,313,689
0122.jpg,166,378,320,703
0123.jpg,164,378,321,690
0137.jpg,220,383,328,688
0094.jpg,679,453,914,717
0080.jpg,900,404,1041,688
0096.jpg,630,455,813,716
0082.jpg,892,392,1023,690
0109.jpg,263,474,467,717
0121.jpg,171,376,321,707
0135.jpg,173,396,311,687
0134.jpg,160,403,313,688
0120.jpg,170,365,333,716
0108.jpg,270,471,474,716
0083.jpg,888,388,1013,685
0097.jpg,595,452,783,717
