image_name,x1,y1,x2,y2
0012.jpg,717,399,806,560
0006.jpg,727,418,789,590
0007.jpg,724,426,787,587
0013.jpg,717,409,812,557
0005.jpg,730,401,791,591
0011.jpg,715,369,803,566
0010.jpg,715,384,796,569
0004.jpg,734,404,792,592
0028.jpg,694,405,743,544
0000.jpg,737,411,796,592
0014.jpg,714,409,817,558
0015.jpg,713,411,819,566
0001.jpg,736,411,795,591
0029.jpg,691,404,741,546
0017.jpg,712,422,805,571
0003.jpg,736,406,794,592
0002.jpg,736,408,795,592
0016.jpg,714,416,816,571
0033.jpg,674,396,732,547
0027.jpg,697,405,746,544
0026.jpg,699,405,747,541
0032.jpg,680,399,732,548
0024.jpg,701,407,763,568
0030.jpg,688,404,736,555
0018.jpg,709,426,795,571
0019.jpg,705,426,792,571
0031.jpg,685,401,734,552
0025.jpg,700,405,760,565
0009.jpg,716,411,786,573
0021.jpg,700,418,776,571
0035.jpg,650,392,732,543
0034.jpg,662,393,731,546
0020.jpg,701,424,784,572
0008.jpg,721,419,786,575
0022.jpg,700,414,768,571
0023.jpg,701,409,768,569
