image_name,x1,y1,x2,y2
0071.jpg,640,506,700,644
0071.jpg,588,154,638,224
0065.jpg,638,508,717,639
0065.jpg,791,106,827,171
0059.jpg,651,496,707,627
0273.jpg,832,488,906,617
0273.jpg,504,147,547,224
0267.jpg,792,492,889,622
0298.jpg,842,486,907,604
0298.jpg,623,151,694,221
0307.jpg,764,468,817,602
0307.jpg,705,152,777,217
0313.jpg,687,472,763,600
0313.jpg,746,154,800,217
0105.jpg,709,530,776,645
0105.jpg,448,102,489,174
0111.jpg,743,507,851,641
0111.jpg,448,105,488,173
0139.jpg,964,512,1043,637
0138.jpg,964,514,1042,637
0110.jpg,733,498,841,638
0110.jpg,445,105,488,173
0104.jpg,689,529,774,645
0104.jpg,451,102,489,174
0312.jpg,701,471,771,602
0312.jpg,734,154,793,217
0306.jpg,772,470,830,603
0306.jpg,703,153,790,218
0299.jpg,835,487,886,606
0299.jpg,628,153,704,221
0266.jpg,791,506,881,622
0266.jpg,484,146,512,224
0272.jpg,822,492,914,617
0272.jpg,501,147,548,224
0058.jpg,649,496,708,629
0064.jpg,638,506,717,632
0070.jpg,642,508,706,645
0070.jpg,591,155,640,225
0066.jpg,634,511,716,640
0066.jpg,791,105,826,171
0072.jpg,639,504,693,644
0072.jpg,578,154,638,226
0099.jpg,643,528,747,646
0099.jpg,454,102,488,174
0264.jpg,784,510,858,623
0264.jpg,467,143,505,221
0270.jpg,807,500,894,619
0270.jpg,498,149,541,224
0258.jpg,716,509,799,634
0258.jpg,431,145,487,219
0310.jpg,740,467,791,598
0310.jpg,713,154,795,217
0304.jpg,782,479,865,605
0304.jpg,681,155,751,219
0338.jpg,470,464,523,578
0338.jpg,796,136,837,211
0112.jpg,767,514,862,640
0112.jpg,447,106,488,173
0106.jpg,720,528,787,646
0106.jpg,448,102,489,173
0107.jpg,720,527,804,643
0107.jpg,448,104,489,174
0113.jpg,789,511,871,639
0113.jpg,446,105,489,173
0339.jpg,461,463,503,578
0339.jpg,796,134,830,212
0305.jpg,781,474,848,604
0311.jpg,717,470,781,600
0311.jpg,722,152,792,218
0259.jpg,731,495,801,628
0259.jpg,438,145,489,218
0271.jpg,815,497,904,618
0271.jpg,499,148,547,225
0265.jpg,785,508,872,622
0265.jpg,478,143,510,222
0098.jpg,644,527,745,646
0098.jpg,453,102,488,174
0073.jpg,638,503,685,642
0073.jpg,573,153,632,226
0067.jpg,630,511,717,643
0063.jpg,639,502,717,630
0077.jpg,612,511,678,644
0077.jpg,551,150,600,227
0088.jpg,629,515,699,651
0088.jpg,452,99,489,173
0249.jpg,607,521,717,646
0249.jpg,425,145,474,218
0261.jpg,766,509,818,628
0275.jpg,844,478,909,613
0329.jpg,558,456,605,567
0329.jpg,807,144,855,212
0315.jpg,679,469,754,594
0301.jpg,818,487,878,606
0301.jpg,641,154,723,221
0117.jpg,832,515,917,638
0103.jpg,672,529,758,645
0103.jpg,452,102,489,173
0102.jpg,653,529,750,645
0102.jpg,454,102,489,174
0116.jpg,829,519,907,638
0300.jpg,829,487,879,606
0300.jpg,633,154,713,221
0314.jpg,681,471,759,597
0314.jpg,760,154,805,216
0328.jpg,566,457,620,570
0328.jpg,806,145,855,213
0274.jpg,839,483,909,617
0274.jpg,510,147,547,223
0260.jpg,749,510,808,628
0248.jpg,606,521,710,648
0248.jpg,426,144,480,218
0089.jpg,630,512,699,649
0089.jpg,451,99,489,173
0076.jpg,615,507,679,643
0076.jpg,555,152,609,227
0062.jpg,642,499,715,627
0048.jpg,634,514,716,626
